company_name,nse,exchange
Equitas Small Finance Bank Limited,EQUITASBNK,NSE
Eris Lifesciences Limited,ERIS,NSE
Esab India Limited,ESABINDIA,NSE
ESCORTS KUBOTA LIMITED,ESCORTS,NSE
ETERNAL LIMITED,ETERNAL,NSE
EUREKA FORBES LTD,EUREKAFORB,NSE
EVEREADY INDUSTRIES INDIA LTD,EVEREADY,NSE
Exide Industries Limited,EXIDEIND,NSE
FDC Limited,FDC,NSE
Fedbank Financial Services Limited,FEDFINA,NSE
FIEM INDUSTRIES LIMITED,FIEMIND,NSE
Filatex India Limited,FILATEX,NSE
Finbud Financial Services Limited,FINBUD-SM,NSE
Fine Organic Industries Limited,FINEORG,NSE
Fineotex Chemical Limited,FCL,NSE
Finolex Cables Limited,FINCABLES,NSE
Finolex Industries Ltd.,FINPIPE,NSE
Firstsource Solutions Limited,FSL,NSE
Five-Star Business Finance Limited,FIVESTAR,NSE
Flair Writing Industries Limited,FLAIR,NSE
Fortis Healthcare India Ltd,FORTIS,NSE
Fractal Analytics Ltd.,FRACTAL,NSE
FSN E-Commerce Ventures Limited,NYKAA,NSE
Fujiyama Power Systems Limited,UTLSOLAR,NSE
G R Infraprojects Limited,GRINFRA,NSE
Gabriel India Limited,GABRIEL,NSE
GAIL (India) Limited,GAIL,NSE
Galaxy Surfactants Limited,GALAXYSURF,NSE
Ganesha Ecosphere Limited,GANECOS,NSE
GARWARE TECHNICAL FIBRES LTD.,GARFIBRES,NSE
Gateway Distriparks Limited,GATEWAY,NSE
GE VERNOVA T&D INDIA LIMITED,GVT&D,NSE
General Insurance Corporation of India,GICRE,NSE
Genus Power Infrastructures Limited,GENUSPOWER,NSE
Genus Prime Infra Limited,GENUSPOWER,NSE
GHCL Limited,GHCL,NSE
Gillette India Ltd.,GILLETTE,NSE
Gk Energy Limited,GKENERGY,NSE
Gland Pharma Limited,GLAND,NSE
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,NSE
Glenmark Pharmaceuticals Limited,GLENMARK,NSE
Global Health Limited,MEDANTA,NSE
GMM Pfaudler Limited,GMMPFAUDLR,NSE
GMR Airports Ltd.,GMRAIRPORT,NSE
GNA Axles Ltd.,GNA,NSE
GNG Electronics Ltd.,EBGNG,NSE
Go Digit General Insurance Limited,GODIGIT,NSE
Go Fashion (India) Limited,GOCOLORS,NSE
Godavari Biorefineries Limited,GODAVARIB,NSE
Godawari Power And Ispat limited,GPIL,NSE
Godrej Agrovet Limited,GODREJAGRO,NSE
Godrej Consumer Products Limited,GODREJCP,NSE
Godrej Industries Limited,GODREJIND,NSE
Godrej Properties Limited,GODREJPROP,NSE
Gokaldas Exports Limited,GOKEX,NSE
Goodluck India Limited,GOODLUCK,NSE
Goodyear India Ltd.,GOODYEAR,NSE
GPT Healthcare Limited,GPTHEALTH,NSE
Granules India Limited,GRANULES,NSE
Graphite India Limited,GRAPHITE,NSE
Grasim Industries Limited,GRASIM,NSE
Gravita India Ltd.,GRAVITA,NSE
Greenlam Industries Limited,GREENLAM,NSE
Greenpanel Industries Limited,GREENPANEL,NSE
Greenply Industries Limited,GREENPLY,NSE
Grindwell Norton Limited,GRINDWELL,NSE
Gufic Biosciences Limited,GUFICBIO,NSE
Gujarat Alkalies and Chemicals Ltd.,GUJALKALI,NSE
Gujarat Ambuja Exports Limited,GAEL,NSE
GUJARAT FLUOROCHEMICALS LIMITED,FLUOROCHEM,NSE
Gujarat Gas Limited,GUJGASLTD,BSE
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,NSE
Gujarat Pipavav Port Ltd.,GPPL,NSE
Gujarat State Fert & Chemicals Ltd,GSFC,NSE
Gujarat State Fertilizers and Chemicals Ltd.,GSFC,NSE
Gulf Oil Lubricants India Limited,GULFOILLUB,NSE
H.G. Infra Engineering Limited,HGINFRA,NSE
Happiest Minds Technologies Ltd.,HAPPSTMNDS,NSE
Happy Forgings Limited,HAPPYFORGE,NSE
Harsha Engineers International Limited,HARSHA,NSE
Hatsun Agro Product Limited,HATSUN,NSE
Havells India Limited,HAVELLS,NSE
HAWKINS COOKER LTD,HAWKINCOOK,NSE
Hawkins Cookers Ltd.,HAWKINCOOK,NSE
HCL Technologies Limited,HCLTECH,NSE
